City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Dingle,PH,10.9995,122.6711,79.77,81,100,10.47,overcast clouds
1,Labytnangi,RU,66.6572,66.4183,-24.57,100,92,2.64,overcast clouds
2,Kodiak,US,57.79,-152.4072,38.71,87,100,5.75,mist
3,Kapaa,US,22.0752,-159.319,79.12,67,0,3.0,clear sky
4,Saskylakh,RU,71.9167,114.0833,-28.21,100,35,1.74,scattered clouds
5,Arrecife,ES,28.963,-13.5477,67.98,56,0,9.22,clear sky
6,Ushuaia,AR,-54.8,-68.3,42.46,70,40,37.98,scattered clouds
7,Bluff,NZ,-46.6,168.3333,76.8,73,78,10.63,light rain
8,Yekepa,LR,7.5753,-8.5419,68.23,21,100,2.66,overcast clouds
9,Alofi,NU,-19.0595,-169.9187,76.89,94,75,11.5,light intensity drizzle
10,Tilichiki,RU,60.4667,166.1,15.12,92,100,8.46,overcast clouds
11,Thompson,CA,55.7435,-97.8558,-21.84,69,0,8.05,clear sky
12,Bredasdorp,ZA,-34.5322,20.0403,73.4,78,6,1.61,clear sky
13,Victoria,HK,22.2855,114.1577,60.94,93,100,3.0,overcast clouds
14,Rikitea,PF,-23.1203,-134.9692,78.35,70,72,6.04,broken clouds
15,Egvekinot,RU,66.3167,-179.1667,-4.97,85,66,18.9,broken clouds
16,Whitianga,NZ,-36.8333,175.7,72.14,77,100,12.5,overcast clouds
17,Iralaya,HN,15.0,-83.2333,75.49,83,3,6.49,clear sky
18,Saint-Philippe,RE,-21.3585,55.7679,80.15,92,100,23.71,moderate rain
19,Fukue,JP,32.6881,128.8419,44.96,61,75,8.05,broken clouds
20,Ural,RU,55.9078,94.7464,-13.25,100,95,1.48,overcast clouds
21,Kenai,US,60.5544,-151.2583,21.15,93,100,25.32,light snow
22,Albany,US,42.6001,-73.9662,30.78,67,100,1.99,overcast clouds
23,Cherskiy,RU,68.75,161.3,11.35,70,100,4.85,overcast clouds
24,Bagotville,AU,-28.9833,153.4167,86.02,83,100,3.67,overcast clouds
